Hex_ID,CitCtr_PT,CitCtr_Cy,CitCtr_Wa,CitCtr_Ca,DisCtr_PT,DisCtr_Cy,DisCtr_Wa,DisCtr_Ca,Em500_PT,Em500_Cy,Em500_Wa,Em500_Ca,Em5000_PT,Em5000_Cy,Em5000_Wa,Em5000_Ca,FurEd_PT,FurEd_Cy,FurEd_Wa,FurEd_Ca,GP_PT,GP_Cy,GP_Wa,GP_Ca,Hos_PT,Hos_Cy,Hos_Wa,Hos_Ca,MajCtr_PT,MajCtr_Cy,MajCtr_Wa,MajCtr_Ca,PriSch_PT,PriSch_Cy,PriSch_Wa,PriSch_Ca,SecSch_PT,SecSch_Cy,SecSch_Wa,SecSch_Ca,StrEmp_PT,StrEmp_Cy,StrEmp_Wa,StrEmp_Ca
SG00625,218.87021699755414,78.97880716669404,0.0,21.434813975298642,964.248181089245,938.7026400962757,53.770334748660346,154.84989981722887,754.6695604190186,561.6959304948124,39.6170407285909,110.72942239740203,266.92711270811,213.8356195185563,2.0992152425457355,40.70110096295573,18.17930586977602,24.6663435126725,0.0,6.876455362816692,83.29592340309821,75.67570154249832,2.4442777621257514,14.378415022751291,3.7857935172876425,2.965558596301035,0.0,0.7863599446578752,70.69026820741874,34.181489451831766,0.0,8.895794042334366,689.0124994014095,776.2996711585203,49.932979213928824,117.14199980520803,346.3790188263589,313.80883107376076,5.796321106927797,58.41544352003192,703.9400492175005,712.1897517185001,26.677782081670113,99.06404264833544
SG00592,0.0,76.26395850728137,0.0,19.917367005084973,171.66255329226212,959.3095503283961,27.648606931320046,128.61181328465702,47.704070794301416,472.7226024806638,8.727613342270281,87.38373205317212,23.260880524573608,192.37796312661916,1.4952221489677096,38.49762590016851,0.0,23.633153008331696,0.0,6.373537244996392,10.607181058504889,77.7162619913155,1.32623560209089,12.972273503274263,0.0,2.8484234911011015,0.0,0.7292949765965684,0.0,32.89559310031704,0.0,8.33139924696022,134.57688134750367,795.3253354073913,24.304146036327943,100.95393555721208,21.851817533410625,297.82585391316775,2.652255442461427,52.37847804929082,120.22037939960745,796.3021750570316,22.398440279911593,90.35631637742198
SG00552,124.31394941896433,75.41892040149978,0.0,17.574276965396898,691.497106730585,1071.1070297128074,34.77218339185534,96.16268758204127,438.7906500155726,513.7997399446199,10.713442533783248,65.31563528334864,212.64339080348114,182.00146313028065,1.128865716502,33.546762130617836,15.52583397014114,23.31519478132671,0.0,5.611400232648194,61.20510895183986,82.36347377161543,1.6865700360274958,10.424533849707643,2.9601215850266924,2.8121802082374927,0.0,0.6418789542978464,76.58042678120711,32.49678521180902,0.0,7.3096518249747815,501.12444193445765,859.9681184610806,29.042315404001663,76.68706598221563,178.95538311194255,319.3745679733921,3.944525058584015,42.88283246304102,634.5530994074555,755.6665256750701,19.879947960629057,72.23211587927827
SG00512,232.4517596745836,68.12773002460924,0.0,16.210614954284704,1014.6288347114593,1138.8142597024396,38.781749619469146,85.78896088276909,608.4781583404631,520.6522780923808,11.307017986338556,59.455658152533864,339.9176825054759,172.56600114177067,1.4910198856382273,32.22968785271603,19.277940513919383,20.640231160071743,0.0,5.434575393049377,101.14934762499915,163.67893327819354,8.763617096519042,9.559791321845161,3.7452042136854704,2.5037229977027424,0.0,0.6044975330428617,97.86418861951141,29.084530244140797,0.0,7.066130169052163,868.7981384059336,1822.3304219440258,123.09323214048446,81.55074749265144,353.7147862432021,317.49737659946544,4.925198023318438,40.796503035747776,999.4248221459263,598.9347253600023,7.226977715573752,72.2940598487156
SG00472,249.18313001389268,65.93572288392265,0.0,17.67834043618647,1066.708486446115,834.8180452713204,21.37449830582877,105.48743860836589,650.5753959712315,460.6100722048146,8.311116329067893,74.73987125880117,353.28537753037324,156.61367216331672,1.0269663703761316,36.04970890267131,35.76664790557262,19.75922906557406,0.0,5.987061432038438,98.86818063351303,101.0833854149632,3.436750101045828,12.414364017363559,4.012892111963062,2.4124765479912003,0.0,0.6596499667242334,104.78041458319512,28.06883363281915,0.0,7.798838414039073,822.8384718648994,957.2229347152092,40.06317918280123,94.52557583236049,378.9843757483533,283.05645013089503,3.725118615967367,48.633537976632276,1040.7504805971234,492.66162443496717,3.969028898045482,86.75043001846906
SG00432,153.1656134400547,59.77411032000417,0.0,15.777380623434613,710.166448607544,604.0861385087148,11.567330044690818,76.99967969405704,459.28695595425165,343.8152679816737,3.025403770814151,55.04344177235495,200.631544644972,137.7426097633212,0.0,30.85533665921093,16.312936802658626,13.556058675723714,0.0,5.271477432097889,66.46847091885867,63.66686151828015,1.1625276278347882,8.584566620995805,3.12265315288953,2.1596575709470756,0.0,0.5854515880271853,80.21057447934898,25.2392513406839,0.0,6.85409141971891,533.3259122581998,584.1143884338628,16.325224060645077,63.20431869095453,208.54585795580468,223.2169453422331,1.856026650194488,38.56091059456563,668.0312136456463,410.5582195488805,2.392700121483414,67.90701904806447
SG00391,0.0,46.853747814977254,0.0,13.067459313078018,0.0,413.8769698043599,4.612246271820192,58.409055778703426,0.0,254.04558419570643,1.346290996810704,43.41181921798151,0.0,114.05375789084223,0.0,25.50904121341662,0.0,11.591782830525993,0.0,4.4037750261738875,0.0,43.25016299532711,0.4665259794968917,6.900871025793774,0.0,1.8725226894076215,0.0,0.49045346008956653,0.0,21.997547709737134,0.0,5.726613988572131,0.0,360.49239089441943,5.994080553593508,47.90592556415117,0.0,173.19117181802483,0.9297570827889547,31.744901661165162,0.0,307.20944572470995,0.0,60.033770754989376
SG00350,0.0,25.605586917205265,0.0,13.708523302334822,0.0,340.0147518034991,2.2830581948734547,67.0748111711027,0.0,215.74869051820068,0.8941673246252413,49.61155100639168,0.0,73.9741884815361,0.0,27.850590969348694,0.0,6.511656549801489,0.0,4.70590823456412,0.0,35.82698358690253,0.186980335469579,7.961863559947392,0.0,1.711375096113947,0.0,0.523267979044426,0.0,20.164758494829808,0.0,6.16395973999406,0.0,285.8542761765089,2.1027360379060145,56.44867778634812,0.0,150.4906855010853,0.0,35.74918539852195,0.0,259.70551544409227,0.0,72.27871685646494
SG00310,0.0,0.0,0.0,13.095815840848255,0.0,0.0,0.0,62.667986774606455,0.0,0.0,0.0,48.667882475838574,0.0,0.0,0.0,26.160539050824294,0.0,0.0,0.0,4.474900826951757,0.0,0.0,0.0,7.654361136072896,0.0,0.0,0.0,0.5769491038704994,0.0,0.0,0.0,6.5048791315686305,0.0,0.0,0.0,54.080376611538085,0.0,0.0,0.0,34.026810419338524,0.0,0.0,0.0,63.653518343444645
SG00271,0.0,0.0,0.0,13.497445639114202,0.0,0.0,0.0,62.06709567142766,0.0,0.0,0.0,50.44722957098983,0.0,0.0,0.0,27.200445855537293,0.0,0.0,0.0,4.608059388340001,0.0,0.0,0.0,7.71245689078572,0.0,0.0,0.0,0.5916044375786909,0.0,0.0,0.0,6.73069884024313,0.0,0.0,0.0,54.237626851633664,0.0,0.0,0.0,34.76381562856064,0.0,0.0,0.0,59.288922974337204
